"uid","domainID","siteID","pitNamedLocation","pitID","horizonID","horizonName","setDate","collectDate","archiveID","archiveLaboratoryName","archiveTopDepth","archiveBottomDepth","remarks","sampleMass","publicationDate","release"
"35a658b1-dbe8-438b-b55e-d699c197a7a3","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_A","A",2015-04-10,2015-04-10,"4_GUANICA_PIT1_ARCHIVE_A","NEON",0,30,NA,3600,"20201217T051942Z","RELEASE-2021"
"d3e76cb2-4075-480c-93ba-cf973ce93709","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_BCK","BCk",2015-04-10,2015-04-10,"4_GUANICA_PIT1_ARCHIVE_BCK","NEON",105,126,NA,3600.6,"20201217T051942Z","RELEASE-2021"
"66bf88e2-5847-471f-8fab-856cdd476ccb","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_BK2","Bk2",2015-04-10,2015-04-10,"4_GUANICA_PIT1_ARCHIVE_BK2","NEON",55,86,NA,3600.2,"20201217T051942Z","RELEASE-2021"
"55a8626b-f942-461f-88ee-8b4b912cdefb","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_C","C",2015-04-10,2015-04-10,NA,NA,NA,NA,NA,NA,"20201217T051942Z","RELEASE-2021"
"6185c2c7-d591-4eb4-a526-6a0085c9620e","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_C","C",2015-04-10,2015-04-10,NA,NA,NA,NA,NA,NA,"20201217T051942Z","RELEASE-2021"
"6ecbfbdf-f0fa-4e85-a598-7917ca00fbc8","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_BK3","Bk3",2015-04-10,2015-04-10,"4_GUANICA_PIT1_ARCHIVE_BK3","NEON",86,105,NA,3600.6,"20201217T051942Z","RELEASE-2021"
"f1b4ff9c-965a-43a6-a89f-e6e7820d32c1","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_BK1","Bk1",2015-04-10,2015-04-10,"4_GUANICA_PIT1_ARCHIVE_BK1","NEON",30,55,NA,3601.1,"20201217T051942Z","RELEASE-2021"
"32babefa-2063-4103-8dcd-efffcee40364","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_4C","4C",2014-04-07,2014-04-07,"4_LAJAS_PIT1_ARCHIVE_176-203_4C","NEON",176,203,NA,3596,"20201217T040239Z","RELEASE-2021"
"aac8b45c-4b32-4161-a31d-a1540336ee31","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_2C","2C",2014-04-07,2014-04-07,"4_LAJAS_PIT1_ARCHIVE_145-164_2C1","NEON",145,164,NA,3600.7,"20201217T040239Z","RELEASE-2021"
"d7c3411c-40b2-4a3f-a296-d4c6c9e3944d","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_BKSSYZ","Bkssyz",2014-04-07,2014-04-07,"4_LAJAS_PIT1_ARCHIVE_83-107_BKSSYZ","NEON",83,107,NA,3600.8,"20201217T040239Z","RELEASE-2021"
"4c859609-c743-41d5-b88f-47ba9bbb28b9","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_BSSYZ","Bssyz",2014-04-07,2014-04-07,"4_LAJAS_PIT1_ARCHIVE_55-83_BSSYZ","NEON",55,83,NA,3416.1,"20201217T040239Z","RELEASE-2021"
"5eae7359-5299-4c9d-8d76-f89a1dc03e38","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_AP","Ap",2014-04-07,2014-04-07,"4_LAJAS_PIT1_ARCHIVE_0 -27_AP","NEON",0,27,NA,3206.2,"20201217T040239Z","RELEASE-2021"
"ab9dff47-b947-4a4b-adaa-064ee1034d96","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_2BKY","2Bky",2014-04-07,2014-04-07,"4_LAJAS_PIT1_ARCHIVE_107-145_2BKY","NEON",107,145,NA,3601.1,"20201217T040239Z","RELEASE-2021"
"6b64649b-6ff0-4f8a-b938-8db3e3540a24","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_ABSS","Abss",2014-04-07,2014-04-07,"4_LAJAS_PIT1_ARCHIVE_27-55_BSS","NEON",27,55,NA,3086.1,"20201217T040239Z","RELEASE-2021"
"99c2ec8c-04c1-4ca3-8c27-f5f174a4345d","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_3C","3C",2014-04-07,2014-04-07,"4_LAJAS_PIT1_ARCHIVE_164-176_3C2","NEON",164,176,NA,3600.5,"20201217T040239Z","RELEASE-2021"
